"survey","country","year","age"
0,"CAN",1995,1
0,"CAN",1995,2
0,"CAN",1995,3
0.0033816099086186,"CAN",1995,4
0.14927176021075,"CAN",1995,5
0.0134773426645664,"CAN",1995,6
0.0552013670590531,"CAN",1995,7
0.265651885394871,"CAN",1995,8
0.050274081302967,"CAN",1995,9
0.036095016481374,"CAN",1995,10
0.334683392177704,"CAN",1995,11
0.0113889776377052,"CAN",1995,12
0.0115776722297157,"CAN",1995,13
0.0171548025059995,"CAN",1995,14
0.0518420924266746,"CAN",1995,15
0,"CAN",1998,1
0.09246192371456,"CAN",1998,2
0.0771584812178931,"CAN",1998,3
0.206316260398205,"CAN",1998,4
0.206110218107479,"CAN",1998,5
0.0163513917295452,"CAN",1998,6
0.0904968793868791,"CAN",1998,7
0.101941427069673,"CAN",1998,8
0.0144994835540409,"CAN",1998,9
0.0322005733212391,"CAN",1998,10
0.0678452952405022,"CAN",1998,11
0.00961090392269332,"CAN",1998,12
0.00212185608035987,"CAN",1998,13
0.0696157859423317,"CAN",1998,14
0.013269520314599,"CAN",1998,15
0,"CAN",2001,1
0.203636784976062,"CAN",2001,2
0.0220535688975446,"CAN",2001,3
0.501184364426484,"CAN",2001,4
0.0866180117522437,"CAN",2001,5
0.0288988234313779,"CAN",2001,6
0.0366498234201136,"CAN",2001,7
0.0430514317355054,"CAN",2001,8
0.0167531475833822,"CAN",2001,9
0.0266046658431431,"CAN",2001,10
0.00697542633482031,"CAN",2001,11
0.00621524945590369,"CAN",2001,12
0.0059002142476556,"CAN",2001,13
0.00227974911546786,"CAN",2001,14
0.0131787387802959,"CAN",2001,15
0,"CAN",2003,1
0.684579942399916,"CAN",2003,2
0.00356230116425249,"CAN",2003,3
0.0908444994835076,"CAN",2003,4
0.127402250841648,"CAN",2003,5
0.0229706272756871,"CAN",2003,6
0.0271293762664843,"CAN",2003,7
0.0152749300720104,"CAN",2003,8
0.0103206165013039,"CAN",2003,9
0.0105716170883465,"CAN",2003,10
0.00191282108007185,"CAN",2003,11
0.00164667535723465,"CAN",2003,12
0.00184170741908149,"CAN",2003,13
0.000866932753823231,"CAN",2003,14
0.00107570229663245,"CAN",2003,15
0,"CAN",2005,1
0.184778473034112,"CAN",2005,2
0.00635707213288015,"CAN",2005,3
0.0271081693982981,"CAN",2005,4
0.0484356355241042,"CAN",2005,5
0.487664611612216,"CAN",2005,6
0.08338361133225,"CAN",2005,7
0.0342107546596198,"CAN",2005,8
0.0528557385652997,"CAN",2005,9
0.0355451472574752,"CAN",2005,10
0.0210658437445462,"CAN",2005,11
0.00846305760903976,"CAN",2005,12
0.00816305096399466,"CAN",2005,13
0.00149924384977394,"CAN",2005,14
0.000469590316390772,"CAN",2005,15
0,"CAN",2007,1
0.00477467169115092,"CAN",2007,2
0.0132949870319045,"CAN",2007,3
0.0860922113552544,"CAN",2007,4
0.0144659244170122,"CAN",2007,5
0.0713459149884775,"CAN",2007,6
0.0498986526671483,"CAN",2007,7
0.58504644341032,"CAN",2007,8
0.0637897826838598,"CAN",2007,9
0.0356448978799029,"CAN",2007,10
0.0318139782453388,"CAN",2007,11
0.0185152597503452,"CAN",2007,12
0.0141203659854268,"CAN",2007,13
0.00704558979453651,"CAN",2007,14
0.00415132009932205,"CAN",2007,15
0,"CAN",2009,1
0.00549536095487097,"CAN",2009,2
0.0210134408303497,"CAN",2009,3
0.107002646633405,"CAN",2009,4
0.0572269407986128,"CAN",2009,5
0.178171759968492,"CAN",2009,6
0.0351129221685085,"CAN",2009,7
0.0517675957535577,"CAN",2009,8
0.0561497066882692,"CAN",2009,9
0.310563551509572,"CAN",2009,10
0.105559404086784,"CAN",2009,11
0.0394101278592006,"CAN",2009,12
0.00891995759782577,"CAN",2009,13
0.0146951048768377,"CAN",2009,14
0.00891148027371412,"CAN",2009,15
0,"CAN",2011,1
0,"CAN",2011,2
0.273316239082512,"CAN",2011,3
0.0500983807316773,"CAN",2011,4
0.124597234792344,"CAN",2011,5
0.136077887370226,"CAN",2011,6
0.035924189666767,"CAN",2011,7
0.0428786797683635,"CAN",2011,8
0.0238406112309841,"CAN",2011,9
0.0362229233220885,"CAN",2011,10
0.0656754924107772,"CAN",2011,11
0.127679584424545,"CAN",2011,12
0.0533734308650275,"CAN",2011,13
0.0226288269542287,"CAN",2011,14
0.00768651938045878,"CAN",2011,15
0,"CAN",2012,1
0.00709962284750364,"CAN",2012,2
0.0698917281310839,"CAN",2012,3
0.207585159863956,"CAN",2012,4
0.0522549070626056,"CAN",2012,5
0.215332164698587,"CAN",2012,6
0.140726812405616,"CAN",2012,7
0.0658702436376161,"CAN",2012,8
0.0377596714167143,"CAN",2012,9
0.0180890432868045,"CAN",2012,10
0.0214861105599071,"CAN",2012,11
0.0434848304394787,"CAN",2012,12
0.0701376843129676,"CAN",2012,13
0.0396316513893695,"CAN",2012,14
0.0106503699477902,"CAN",2012,15
0,"CAN",2013,1
0.000543233838697349,"CAN",2013,2
0.0341251841850837,"CAN",2013,3
0.0981756746890847,"CAN",2013,4
0.211502879704025,"CAN",2013,5
0.0722602722550112,"CAN",2013,6
0.15621311623984,"CAN",2013,7
0.120684852654081,"CAN",2013,8
0.0484860205133026,"CAN",2013,9
0.0293873900871259,"CAN",2013,10
0.0176101541891855,"CAN",2013,11
0.023136468892185,"CAN",2013,12
0.0409195476996597,"CAN",2013,13
0.0944977099010534,"CAN",2013,14
0.0524574951516661,"CAN",2013,15
0,"CAN",2015,1
0.0101586560539105,"CAN",2015,2
0.0540375442801606,"CAN",2015,3
0.0424305552730832,"CAN",2015,4
0.655931565728087,"CAN",2015,5
0.0603852962943609,"CAN",2015,6
0.0959279579696497,"CAN",2015,7
0.0201974021447421,"CAN",2015,8
0.0182928821139968,"CAN",2015,9
0.0166559427905557,"CAN",2015,10
0.00869288767768243,"CAN",2015,11
0.00201554014869552,"CAN",2015,12
0.00269807376306674,"CAN",2015,13
0.00299354060395467,"CAN",2015,14
0.00958215515805458,"CAN",2015,15
0,"CAN",2017,1
0.00594151261256787,"CAN",2017,2
0.175315755008542,"CAN",2017,3
0.0356141496325388,"CAN",2017,4
0.0628066042879765,"CAN",2017,5
0.0686312721643754,"CAN",2017,6
0.443788378203468,"CAN",2017,7
0.058359599858732,"CAN",2017,8
0.0722258976912617,"CAN",2017,9
0.0158820736022711,"CAN",2017,10
0.0223410474979959,"CAN",2017,11
0.0193864674092777,"CAN",2017,12
0.00667914651192885,"CAN",2017,13
0.00785392010501913,"CAN",2017,14
0.0051741754140454,"CAN",2017,15
0,"USA",1995,1
0.256771251227903,"USA",1995,2
0.03403343192488,"USA",1995,3
0.0113151164782945,"USA",1995,4
0.224363138881127,"USA",1995,5
0.00836532826860922,"USA",1995,6
0.0391033104516795,"USA",1995,7
0.150857398276087,"USA",1995,8
0.00320045846441292,"USA",1995,9
0.000947065634233303,"USA",1995,10
0.205728031189356,"USA",1995,11
0.000627864158297606,"USA",1995,12
0.0144965147626709,"USA",1995,13
0.000450109890485166,"USA",1995,14
0.0497409803919633,"USA",1995,15
0,"USA",1998,1
0.229987687464922,"USA",1998,2
0.265191302762133,"USA",1998,3
0.11679857197808,"USA",1998,4
0.181856743052803,"USA",1998,5
0.0135569630055538,"USA",1998,6
0.029173668350514,"USA",1998,7
0.0755064273038932,"USA",1998,8
0.0099628393947663,"USA",1998,9
0.00278083433769201,"USA",1998,10
0.0339925896888772,"USA",1998,11
0.000323635690997688,"USA",1998,12
0.00259253628315814,"USA",1998,13
0.027979593169924,"USA",1998,14
0.010296607516685,"USA",1998,15
0,"USA",2001,1
0.579262444705897,"USA",2001,2
0.125878112977727,"USA",2001,3
0.0387311417823664,"USA",2001,4
0.0724193111824213,"USA",2001,5
0.0411902914615996,"USA",2001,6
0.0448007557978839,"USA",2001,7
0.0271022479198643,"USA",2001,8
0.0147969423265073,"USA",2001,9
0.0142590916286845,"USA",2001,10
0.0103063896181123,"USA",2001,11
0.012533964215795,"USA",2001,12
0.0122913435246457,"USA",2001,13
0.00407397440224789,"USA",2001,14
0.00235398845624766,"USA",2001,15
0,"USA",2003,1
0.0444790261121504,"USA",2003,2
0.023122409583669,"USA",2003,3
0.644337867345319,"USA",2003,4
0.0951947556597989,"USA",2003,5
0.0208263395419501,"USA",2003,6
0.055989915887721,"USA",2003,7
0.0334242855304336,"USA",2003,8
0.02298852384894,"USA",2003,9
0.023183463903454,"USA",2003,10
0.015405749669226,"USA",2003,11
0.00720760912944037,"USA",2003,12
0.00418963185113112,"USA",2003,13
0.0040200412722376,"USA",2003,14
0.00563038066452874,"USA",2003,15
0,"USA",2005,1
0.204478098978192,"USA",2005,2
0.0169749612705499,"USA",2005,3
0.0707321197013861,"USA",2005,4
0.049409383839802,"USA",2005,5
0.519100525444727,"USA",2005,6
0.0533653636104693,"USA",2005,7
0.0170587212184803,"USA",2005,8
0.0275652231583979,"USA",2005,9
0.017784087082913,"USA",2005,10
0.0105830665611959,"USA",2005,11
0.00853442791843068,"USA",2005,12
0.000679796056858354,"USA",2005,13
0.00208508114627544,"USA",2005,14
0.00164914401232213,"USA",2005,15
0,"USA",2007,1
0.381618044297487,"USA",2007,2
0.027575418622632,"USA",2007,3
0.128449506009299,"USA",2007,4
0.0145664501590415,"USA",2007,5
0.0430730736036372,"USA",2007,6
0.0273835580405703,"USA",2007,7
0.316019628597576,"USA",2007,8
0.0286763363308736,"USA",2007,9
0.0130804198440139,"USA",2007,10
0.00934616552716746,"USA",2007,11
0.00396635554280276,"USA",2007,12
0.00437182903944415,"USA",2007,13
0.00187321438545423,"USA",2007,14
0,"USA",2007,15
0,"USA",2009,1
0.00593696727493618,"USA",2009,2
0.382134443124346,"USA",2009,3
0.473815590035089,"USA",2009,4
0.0125771558381808,"USA",2009,5
0.0524925447003468,"USA",2009,6
0.00582574843356867,"USA",2009,7
0.00755534578805653,"USA",2009,8
0.00969209252448881,"USA",2009,9
0.027956693333669,"USA",2009,10
0.0139922721552171,"USA",2009,11
0.00432380451600092,"USA",2009,12
0.00133188047091645,"USA",2009,13
0.00194541984804979,"USA",2009,14
0.000420041957134065,"USA",2009,15
0,"USA",2011,1
0.297935453960957,"USA",2011,2
0.611573304630403,"USA",2011,3
0.0330288019220333,"USA",2011,4
0.0208624832107436,"USA",2011,5
0.0220084291600759,"USA",2011,6
0.00370803916604972,"USA",2011,7
0.00274879349059646,"USA",2011,8
0.00083959684525172,"USA",2011,9
0.0011570447131596,"USA",2011,10
0,"USA",2011,11
0.00530990580066189,"USA",2011,12
0.000613546503691382,"USA",2011,13
0.000214600596376614,"USA",2011,14
0,"USA",2011,15
0,"USA",2012,1
0.698331743683481,"USA",2012,2
0.0973248901114931,"USA",2012,3
0.153787616217951,"USA",2012,4
0.0171041162389438,"USA",2012,5
0.01404686497928,"USA",2012,6
0.00856525468969602,"USA",2012,7
0.00510982511577451,"USA",2012,8
0.000644828070054859,"USA",2012,9
0.000758516511986382,"USA",2012,10
0.000735394102572334,"USA",2012,11
0.000816624995939154,"USA",2012,12
0.00196322885865287,"USA",2012,13
0.000811096424174739,"USA",2012,14
0,"USA",2012,15
0,"USA",2013,1
0.0336807957533889,"USA",2013,2
0.794878756350594,"USA",2013,3
0.0503246270587949,"USA",2013,4
0.0735586467420057,"USA",2013,5
0.00604462767314829,"USA",2013,6
0.0130282833087543,"USA",2013,7
0.0183898773440451,"USA",2013,8
0.00365427967576681,"USA",2013,9
0.0028865901348356,"USA",2013,10
4.027010270614e-05,"USA",2013,11
5.68332151544493e-05,"USA",2013,12
0.00106246526354918,"USA",2013,13
0.00172025604069449,"USA",2013,14
0.000673691336562018,"USA",2013,15
0,"USA",2015,1
0.121763560249212,"USA",2015,2
0.0912865340294655,"USA",2015,3
0.0421706211342067,"USA",2015,4
0.572429597677101,"USA",2015,5
0.0468693630388749,"USA",2015,6
0.0719737410804378,"USA",2015,7
0.0141902134768443,"USA",2015,8
0.0139796732510927,"USA",2015,9
0.0135984581462802,"USA",2015,10
0.00728568452945558,"USA",2015,11
0.000502597812571447,"USA",2015,12
0.00131595127530617,"USA",2015,13
0,"USA",2015,14
0.00263400429915208,"USA",2015,15
0,"USA",2017,1
0.00964147965673233,"USA",2017,2
0.606385597010901,"USA",2017,3
0.0268019641236622,"USA",2017,4
0.0320643627162299,"USA",2017,5
0.0280620175647721,"USA",2017,6
0.207304261897026,"USA",2017,7
0.0325632239535149,"USA",2017,8
0.0212749063103816,"USA",2017,9
0.00940071380611253,"USA",2017,10
0.00650280274998323,"USA",2017,11
0.0107214413586638,"USA",2017,12
0.00526889620457008,"USA",2017,13
0.0020470211432608,"USA",2017,14
0.00196131150418956,"USA",2017,15
